CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
BURG - AUTO,02/17/2025 11:35:00 AM,25-901555,BURGLARY-AUTO,08X,3801 TELEGRAPH AV,Oakland,CA,POINT (-122.26539 37.82698)
FELONY ASSAULT,03/14/2025 07:35:00 PM,25-011737,VANDALISM [UNDER $400],21X,2600 E 20TH ST,Oakland,CA,POINT (-122.22808 37.78529)
BURG - AUTO,03/27/2025 09:15:00 PM,25-902982,BURGLARY-AUTO,77X,23RD,Oakland,CA,
VANDALISM,02/15/2025 03:00:00 AM,25-009638,VANDALISM,04X,17TH ST & TELEGRAPH AV,Oakland,CA,POINT (-122.27027 37.80681)
FELONY ASSAULT,02/23/2025 08:33:00 AM,25-008469,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,07X,2400 MYRTLE ST,Oakland,CA,POINT (-122.2791 37.81634)
ARSON,04/13/2025 09:30:00 PM,25-016545,ARSON: PROPERTY,07X,2924 UNION ST,Oakland,CA,POINT (-122.28397 37.82205)
EMBEZZLEMENT,04/06/2025 01:50:00 PM,25-015318,THEFT OF UTILITY SERVICES,27X,5250 YGNACIO AV,Oakland,CA,POINT (-122.20155 37.77353)
STOLEN VEHICLE,03/21/2025 07:20:00 AM,25-012695,VEHICLE THEFT - AUTO,02X,1155 3RD ST,Oakland,CA,POINT (-122.2897 37.8012)
FELONY ASSAULT,01/28/2025 11:28:00 PM,25-004450,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35X,8755 FONTAINE ST,Oakland,CA,POINT (-122.15134 37.76225)
DOMESTIC VIOLENCE,01/26/2025 10:00:00 PM,25-004126,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,01X,40 HARRISON ST,Oakland,CA,POINT (-122.27347 37.79345)
PETTY THEFT,04/08/2025 02:00:00 AM,25-015673,THEFT,01X,255 2ND ST,Oakland,CA,POINT (-122.27202 37.79436)
DOMESTIC VIOLENCE,03/16/2025 09:50:00 AM,25-011936,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,1808 FRUITVALE AV,Oakland,CA,POINT (-122.22353 37.78223)
STOLEN VEHICLE,04/06/2025 03:00:00 AM,25-015332,VEHICLE THEFT - AUTO,17X,1330 E 20TH ST,Oakland,CA,POINT (-122.24117 37.79339)
STOLEN VEHICLE,02/13/2025 04:51:00 AM,25-006757,VEHICLE THEFT - AUTO,32X,9900 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16978 37.74351)
VANDALISM,02/17/2025 12:30:00 AM,25-901547,VANDALISM,11X,675 59TH ST,Oakland,CA,POINT (-122.26755 37.84419)
PETTY THEFT,01/29/2025 04:00:00 PM,25-004688,THEFT,02X,1149 10TH ST,Oakland,CA,POINT (-122.28687 37.80655)
STOLEN VEHICLE,01/20/2025 02:00:00 AM,25-003814,VEHICLE THEFT - AUTO,17Y,1411 E 31ST ST,Oakland,CA,POINT (-122.23131 37.79801)
MISDEMEANOR ASSAULT,03/28/2025 12:39:00 PM,25-013803,ASSAULT,99X,1195 MIDDLE HARBOR RD,Oakland,CA,POINT (-122.29205 37.79905)
NARCOTICS,04/09/2025 07:30:00 PM,25-015810,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,30X,7629 LOCKWOOD ST,Oakland,CA,POINT (-122.17924 37.76103)
PETTY THEFT,01/28/2025 05:00:00 PM,25-902414,THEFT,14Y,469 JEAN ST,Oakland,CA,POINT (-122.25025 37.815)
DOMESTIC VIOLENCE,03/03/2025 05:22:00 PM,25-009685,INFLICT CRPL INJ SP/COHAB,32X,1628 99TH AV,Oakland,CA,POINT (-122.16675 37.74435)
CURFEW & LOITERING,03/02/2025 12:00:00 AM,25-009524,TRESPASS:OCCUPY PROPERTY W/O CONSENT,21Y,3006 FRUITVALE AV,Oakland,CA,POINT (-122.21839 37.79467)
NARCOTICS,02/03/2025 10:56:00 PM,25-005159,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,26Y,989 70TH AV,Oakland,CA,POINT (-122.19436 37.75717)
FELONY ASSAULT,02/21/2025 05:05:00 PM,25-008268,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,26Y,6207 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.19693 37.76362)
MISDEMEANOR ASSAULT,02/11/2025 05:00:00 PM,25-006581,CRUELTY TO ELDER/DEPENDENT ADULT,25Y,12500 CAMPUS DR,Oakland,CA,POINT (-122.16751 37.7893)
FELONY ASSAULT,02/17/2025 06:18:00 PM,25-007564,BATTERY,26Y,1103 71ST AV,Oakland,CA,POINT (-122.19163 37.75806)
PETTY THEFT,02/09/2025 11:00:00 PM,25-006808,THEFT,05X,1434 LINDEN ST,Oakland,CA,POINT (-122.28373 37.80979)
OTHER,03/12/2025 11:07:00 PM,25-011337,SC KIDNAPPING,12Y,52ND ST & TELEGRAPH AV,Oakland,CA,POINT (-122.26222 37.83801)
PETTY THEFT,03/02/2025 12:00:00 AM,25-010289,THEFT,25Y,13848 CAMPUS DR,Oakland,CA,POINT (-122.14852 37.77506)
MISDEMEANOR ASSAULT,03/04/2025 07:00:00 PM,25-010009,BATTERY,19X,1530 6TH AV,Oakland,CA,POINT (-122.25134 37.79581)
STOLEN VEHICLE,02/08/2025 10:00:00 PM,25-006160,VEHICLE THEFT - AUTO,30X,2317 73RD AV,Oakland,CA,POINT (-122.17901 37.76457)
BURG - COMMERCIAL,03/11/2025 03:55:00 AM,25-011028,BURGLARY-FORCIBLE ENTRY,13Z,6550 MORAGA AV,Oakland,CA,POINT (-122.20995 37.82546)
,04/17/2025 08:20:00 AM,25-903507,BURGLARY-AUTO,09X,1982 PLEASANT VALLEY AVE,Oakland,CA,POINT (-122.2496 37.83326)
MISDEMEANOR ASSAULT,03/11/2025 05:30:00 PM,25-011141,ASSAULT,22X,3550 FRUITVALE AV,Oakland,CA,POINT (-122.2158 37.80125)
HOMICIDE,03/16/2025 06:28:00 PM,25-011979,SC UNEXPLAINED DEATH,33X,8400 E ST,Oakland,CA,POINT (-122.18535 37.75232)
BURG - COMMERCIAL,04/13/2025 05:01:00 AM,25-016410,ATTEMPTED BURGLARY:SECOND DEGREE,25X,3530 MACARTHUR BLVD,Oakland,CA,POINT (-122.20008 37.79344)
FELONY ASSAULT,03/08/2025 08:03:00 AM,25-010559,HARM/DEATH:ELDER/DEP ADLT,04X,1569 JACKSON ST,Oakland,CA,POINT (-122.26413 37.80452)
,04/14/2025 07:10:00 PM,25-903436,VANDALISM,08X,2400 WEBSTER ST,Oakland,CA,POINT (-122.26486 37.81347)
PETTY THEFT,03/11/2025 08:33:00 AM,25-011045,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1327 66TH AV,Oakland,CA,POINT (-122.19396 37.76184)
BURG - RESIDENTIAL,03/31/2025 09:00:00 PM,25-014750,BURGLARY-NO FORCE,09X,3888 HOWE ST,Oakland,CA,POINT (-122.25449 37.82607)
STOLEN VEHICLE,01/25/2025 09:00:00 PM,25-004036,VEHICLE THEFT - AUTO,32X,1266 106TH AV,Oakland,CA,POINT (-122.16897 37.73736)
BURG - AUTO,02/14/2025 07:25:00 AM,25-901916,BURGLARY-AUTO,20X,3060 E 9TH ST,Oakland,CA,POINT (-122.23042 37.77423)
STOLEN VEHICLE,02/02/2025 12:00:00 AM,25-005149,VEHICLE THEFT - AUTO,25Y,4340 RILEA WY,Oakland,CA,POINT (-122.15116 37.77171)
VANDALISM,02/09/2025 03:08:00 PM,25-006124,VANDALISM,32Y,10323 MACARTHUR BLVD,Oakland,CA,POINT (-122.1537 37.74386)
STOLEN VEHICLE,02/10/2025 01:25:00 PM,25-006345,VEHICLE THEFT - AUTO,19X,2255 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.2365 37.78376)
DISORDERLY CONDUCT,02/11/2025 12:19:00 PM,25-006485,DISTURB THE PEACE,23X,1555 34TH AV,Oakland,CA,POINT (-122.22303 37.77904)
ROBBERY,01/25/2025 02:15:00 AM,25-003871,GRAND THEFT,32X,10111 WALNUT ST,Oakland,CA,POINT (-122.16658 37.74245)
HOMICIDE,02/06/2025 08:00:00 PM,25-005820,SC UNEXPLAINED DEATH,04X,1515 LAKESIDE DR,Oakland,CA,POINT (-122.26228 37.80239)
PETTY THEFT,03/03/2025 07:00:00 AM,25-902312,THEFT,22Y,2942 MACARTHUR BLVD,Oakland,CA,POINT (-122.20584 37.79779)
BURG - AUTO,02/27/2025 10:20:00 PM,25-901606,BURGLARY-AUTO,77X,GRAND AVE,Oakland,CA,
OTHER,03/03/2025 02:00:00 PM,25-009670,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,02Y,1121 WILLOW ST,Oakland,CA,POINT (-122.298 37.8108)
VANDALISM,01/26/2025 01:50:00 AM,25-004033,VANDALISM:DAMAGE PROPERTY,17Y,1285 MACARTHUR BLVD,Oakland,CA,POINT (-122.23178 37.80242)
DOMESTIC VIOLENCE,02/28/2025 07:12:00 PM,25-009325,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,27Y,1599 54TH AV,Oakland,CA,POINT (-122.20415 37.76967)
STOLEN VEHICLE,04/11/2025 03:45:00 AM,25-016087,VEHICLE THEFT - AUTO,19X,425 E 11TH ST,Oakland,CA,POINT (-122.25634 37.79441)
MISDEMEANOR ASSAULT,04/05/2025 06:20:00 AM,25-015113,BATTERY,33X,9712 D ST,Oakland,CA,POINT (-122.17602 37.74238)
EMBEZZLEMENT,02/04/2025 12:00:00 PM,25-005417,THEFT OF UTILITY SERVICES,31X,700 73RD AV,Oakland,CA,POINT (-122.19773 37.75239)
GRAND THEFT,03/04/2025 12:25:00 PM,25-009952,GRAND THEFT FROM PERSON,22X,3426 FRUITVALE AV,Oakland,CA,POINT (-122.2159 37.79931)
HOMICIDE,03/14/2025 10:00:00 AM,25-011675,SC UNEXPLAINED DEATH,11X,568 66TH ST,Oakland,CA,POINT (-122.26219 37.85178)
FELONY ASSAULT,03/14/2025 01:49:00 AM,25-011494,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,2000 55TH AV,Oakland,CA,POINT (-122.19863 37.77067)
VANDALISM,03/02/2025 12:00:00 AM,25-010277,VANDALISM,05X,1721 BRUSH ST,Oakland,CA,POINT (-122.27683 37.80955)
PETTY THEFT,04/07/2025 11:06:00 AM,25-015439,ATTEMPT THEFT,20X,3050 E 9TH ST,Oakland,CA,POINT (-122.22825 37.77442)
VANDALISM,04/05/2025 10:00:00 AM,25-015595,VANDALISM:DAMAGE PROPERTY,30X,1632 67TH AV,Oakland,CA,POINT (-122.18914 37.76371)
FELONY ASSAULT,02/05/2025 03:45:00 PM,25-005620,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32X,102ND AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16817 37.74124)
VANDALISM,03/20/2025 08:00:00 AM,25-012519,BATTERY,04X,2000 SAN PABLO AV,Oakland,CA,POINT (-122.27308 37.81024)
STOLEN VEHICLE,01/24/2025 06:00:00 AM,25-003829,VEHICLE THEFT - AUTO,27X,2201 VICKSBURG AV,Oakland,CA,POINT (-122.20355 37.77658)
DOMESTIC VIOLENCE,04/09/2025 01:00:00 PM,25-015838,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,02Y,334 CHESTER ST,Oakland,CA,POINT (-122.29673 37.80356)
DOMESTIC VIOLENCE,03/10/2025 06:03:00 PM,25-010975,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,77X,1400 LAKSHORE AV,Oakland,CA,POINT (-122.25777 37.79961)
GRAND THEFT,02/14/2025 04:30:00 PM,25-007081,VANDALISM:DEFACE PROPERTY,03X,388 9TH ST,Oakland,CA,POINT (-122.2715 37.80015)
WEAPONS,02/17/2025 10:35:00 PM,25-007599,CARRY CONCEALED WEAPON IN VEHICLE,02X,1150 10TH ST,Oakland,CA,POINT (-122.28735 37.80666)
DOMESTIC VIOLENCE,04/10/2025 08:00:00 PM,25-016237,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,13Z,8460 SKYLINE BLVD,Oakland,CA,POINT (-122.18582 37.83228)
MISDEMEANOR ASSAULT,03/24/2025 03:58:00 PM,25-013164,BATTERY,27Y,2465 64TH AV,Oakland,CA,POINT (-122.18772 37.76827)
MISDEMEANOR ASSAULT,02/05/2025 08:00:00 AM,25-005952,BATTERY W/SERIOUS BODILY INJURY,17X,2014 5TH AV,Oakland,CA,POINT (-122.24801 37.79988)
ROBBERY,03/15/2025 02:50:00 PM,25-012188,ROBBERY-FIREARM,32X,9900 B ST,Oakland,CA,POINT (-122.17324 37.74189)
FELONY ASSAULT,03/23/2025 08:00:00 PM,25-013344,CARRY CONCEALED WEAPON ON PERSON,01X,155 4TH ST,Oakland,CA,POINT (-122.2685 37.79467)
BURG - COMMERCIAL,03/24/2025 04:11:00 AM,25-013079,BURGLARY-FORCIBLE ENTRY,04X,1700 CASTRO ST,Oakland,CA,POINT (-122.27555 37.80892)
GRAND THEFT,01/22/2025 03:00:00 PM,25-900959,GRAND THEFT,13Z,2220 MOUNTAIN BLVD,Oakland,CA,POINT (-122.20704 37.82343)
STOLEN VEHICLE,03/20/2025 09:00:00 PM,25-012646,VEHICLE THEFT - AUTO,23X,1800 33RD AV,Oakland,CA,POINT (-122.22248 37.78185)
FELONY ASSAULT,02/06/2025 10:30:00 PM,25-005785,CARRY STOLEN LOADED FIREARM,04X,500 17TH ST,Oakland,CA,POINT (-122.27044 37.80684)
NARCOTICS,02/06/2025 04:00:00 PM,25-005764,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,05Y,1400 PERALTA ST,Oakland,CA,POINT (-122.29385 37.81147)
PETTY THEFT,03/07/2025 02:20:00 PM,25-010444,THEFT,14X,PERRY PL & VERNON ST,Oakland,CA,
FELONY ASSAULT,04/05/2025 11:12:00 PM,25-015227,EXHIBIT FIREARM,32Y,10059 MACARTHUR BLVD,Oakland,CA,POINT (-122.15555 37.74553)
STOLEN VEHICLE,02/10/2025 05:00:00 PM,25-006306,VEHICLE THEFT - AUTO,77X,200 PEARL ST,Oakland,CA,POINT (-122.25495 37.8171)
PETTY THEFT,03/05/2025 12:00:00 AM,25-010146,THEFT,02Y,1218 CAMPBELL ST,Oakland,CA,POINT (-122.29608 37.81095)
BURG - AUTO,03/23/2025 04:00:00 PM,25-902697,BURGLARY-AUTO,08X,2450 VALDEZ ST,Oakland,CA,POINT (-122.26368 37.81371)
OTHER,02/27/2025 05:25:00 PM,25-009153,SELL/ETC LIQUOR TO MINOR,32X,1524 100TH AV,Oakland,CA,POINT (-122.16721 37.74304)
MISDEMEANOR ASSAULT,02/21/2025 03:45:00 PM,25-008243,VANDALISM,05X,1040 14TH ST,Oakland,CA,POINT (-122.28373 37.80904)
,04/18/2025 07:45:00 AM,25-017170,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,17X,2115 9TH AVE,Oakland,CA,POINT (-122.24368 37.79766)
BURG - COMMERCIAL,01/31/2025 12:00:00 AM,25-901296,BURGLARY-NO FORCE,22Y,3200 MACARTHUR BLVD,Oakland,CA,POINT (-122.20299 37.79609)
MISDEMEANOR ASSAULT,01/31/2025 10:50:00 PM,25-004884,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,28X,4426 PENNIMAN AV,Oakland,CA,POINT (-122.19928 37.78265)
PETTY THEFT,03/15/2025 12:00:00 AM,25-012106,THEFT,77X,OAKLAND MUSEUM,Oakland,CA,
STOLEN VEHICLE,03/14/2025 11:30:00 PM,25-011805,VEHICLE THEFT - AUTO,08X,260 30TH ST,Oakland,CA,POINT (-122.26169 37.81849)
MISDEMEANOR ASSAULT,03/26/2025 11:17:00 AM,25-013462,BATTERY W/SERIOUS BODILY INJURY,03Y,505 14TH ST,Oakland,CA,POINT (-122.27279 37.80498)
STOLEN VEHICLE,02/18/2025 01:45:00 PM,25-007861,VEHICLE THEFT - AUTO,12Y,5730 TELEGRAPH AV,Oakland,CA,POINT (-122.26091 37.84388)
STOLEN VEHICLE,01/30/2025 05:00:00 PM,25-006652,SC STOLEN VEHICLE - AUTO,27Y,62ND AV & BANCROFT AV,Oakland,CA,POINT (-122.18763 37.77036)
PETTY THEFT,03/27/2025 03:50:00 PM,25-013679,THEFT,19X,1627 FOOTHILL BLVD,Oakland,CA,POINT (-122.24209 37.78969)
DISORDERLY CONDUCT,03/30/2025 08:00:00 PM,25-014578,DISTURB THE PEACE,07X,1173 32ND ST,Oakland,CA,POINT (-122.28166 37.82389)
BURG - AUTO,01/27/2025 07:50:00 PM,25-900942,BURGLARY-AUTO,01X,59 BROADWAY,Oakland,CA,POINT (-122.27691 37.79511)
STOLEN VEHICLE,03/22/2025 07:33:00 AM,25-012815,VEHICLE THEFT - AUTO,29X,6870 FOOTHILL BLVD,Oakland,CA,POINT (-122.17669 37.76976)
DOMESTIC VIOLENCE,03/23/2025 09:04:00 AM,25-012971,VANDALISM:DAMAGE PROPERTY,05X,872 19TH ST,Oakland,CA,POINT (-122.27915 37.81158)
RECOVERED O/S STOLEN,02/10/2025 10:30:00 AM,25-006213,VEHICLE THEFT - AUTO,02X,1035 7TH ST,Oakland,CA,POINT (-122.28573 37.80326)
NARCOTICS,04/10/2025 11:24:00 AM,25-015965,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",35X,2300 83RD AV,Oakland,CA,POINT (-122.16794 37.76011)
HOMICIDE,02/09/2025 10:30:00 AM,25-006098,SC UNEXPLAINED DEATH,16Y,1143 GLENDORA AV,Oakland,CA,POINT (-122.21984 37.80988)
MISDEMEANOR ASSAULT,02/03/2025 07:30:00 AM,25-005193,BATTERY,21X,2425 25TH AV,Oakland,CA,POINT (-122.22602 37.78948)
PETTY THEFT,02/14/2025 08:00:00 AM,25-007018,PETTY THEFT:$50-,04X,2150 WEBSTER ST,Oakland,CA,POINT (-122.26571 37.8103)
STOLEN AND RECOVERED VEHICLE,02/05/2025 01:00:00 AM,25-903323,ATTEMPT VEHICLE THEFT-AUTO,12Y,5909 CHABOT RD,Oakland,CA,POINT (-122.25324 37.84665)
MISDEMEANOR ASSAULT,03/29/2025 11:55:00 PM,25-014485,BATTERY,04X,266 14TH ST,Oakland,CA,POINT (-122.26668 37.8028)
OTHER,01/29/2025 11:12:00 PM,25-004605,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,24Y,3115 35TH AV,Oakland,CA,POINT (-122.2051 37.79106)
BURG - RESIDENTIAL,04/05/2025 10:15:00 AM,25-015051,ATTEMPTED BURGLARY:SECOND DEGREE,12Y,6169 HARWOOD AV,Oakland,CA,POINT (-122.24845 37.84937)
STOLEN VEHICLE,01/30/2025 10:00:00 PM,25-004871,VEHICLE THEFT - AUTO,18Y,2166 E 27TH ST,Oakland,CA,POINT (-122.22859 37.79398)
WEAPONS,04/02/2025 01:38:00 PM,25-014716,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,27Y,6200 AVENAL AV,Oakland,CA,POINT (-122.19045 37.76873)
PETTY THEFT,01/25/2025 04:18:00 PM,25-003972,THEFT,03Y,455 7TH ST,Oakland,CA,POINT (-122.27482 37.79975)
MISDEMEANOR ASSAULT,03/23/2025 07:03:00 PM,25-013026,EXHIBIT FIREARM,26X,920 52ND AV,Oakland,CA,POINT (-122.21024 37.76576)
WEAPONS,02/23/2025 10:10:00 PM,25-008561,CARRY CONCEALED WEAPON IN VEHICLE,33X,1144 90TH AV,Oakland,CA,POINT (-122.1785 37.74799)
STOLEN VEHICLE,04/10/2025 08:30:00 AM,25-016049,VEHICLE THEFT - AUTO,03X,238 13TH ST,Oakland,CA,POINT (-122.26612 37.80179)
STOLEN VEHICLE,02/08/2025 11:10:00 PM,25-006165,VEHICLE THEFT - AUTO,08X,3908 RUBY ST,Oakland,CA,POINT (-122.26225 37.8279)
BURG - RESIDENTIAL,02/10/2025 07:06:00 AM,25-008645,BURGLARY,17Y,2715 VALLECITO PL,Oakland,CA,POINT (-122.23313 37.7974)
BURG - AUTO,03/25/2025 10:10:00 AM,25-902648,BURGLARY-AUTO,25X,4276 MACARTHUR BLVD,Oakland,CA,POINT (-122.19481 37.78769)
GRAND THEFT,02/23/2025 03:00:00 PM,25-008528,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,23X,1422 39TH AV,Oakland,CA,POINT (-122.21854 37.77481)
BURG - AUTO,03/27/2025 09:15:00 AM,25-013636,BURGLARY-AUTO,25X,4017 MACARTHUR BLVD,Oakland,CA,POINT (-122.19778 37.79018)
CURFEW & LOITERING,03/07/2025 03:00:00 PM,25-010457,TRESPASSING,19X,1528 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.24465 37.78863)
VANDALISM,04/01/2025 12:51:00 AM,25-014316,VANDALISM,25Y,8047 COACH DR,Oakland,CA,POINT (-122.13984 37.77234)
,03/25/2025 10:00:00 PM,25-902817,THEFT,02Y,1410 9TH ST,Oakland,CA,POINT (-122.29334 37.80694)
STOLEN VEHICLE,02/25/2025 10:45:00 PM,25-009710,VEHICLE THEFT - AUTO,08X,2353 WEBSTER ST,Oakland,CA,POINT (-122.26502 37.8129)
FELONY ASSAULT,02/15/2025 05:00:00 AM,25-007154,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,05Y,1800 WOOD ST,Oakland,CA,POINT (-122.29561 37.81602)
FELONY ASSAULT,03/24/2025 04:15:00 PM,25-013158,ASSAULT WITH FIREARM ON PERSON,29X,6436 FOOTHILL BLVD,Oakland,CA,POINT (-122.18346 37.77066)
PETTY THEFT,03/17/2025 03:00:00 PM,25-012153,THEFT,16Y,4320 PARK BLVD,Oakland,CA,POINT (-122.22094 37.80798)
PETTY THEFT,03/23/2025 12:00:00 AM,25-013029,THEFT,19X,1515 14TH AV,Oakland,CA,POINT (-122.24533 37.79012)
ROBBERY,02/07/2025 09:19:00 AM,25-005891,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31Y,566 HEGENBERGER RD,Oakland,CA,POINT (-122.19565 37.74514)
VANDALISM,02/22/2025 02:25:00 PM,25-008402,ASSAULT,08X,144 GRAND AV,Oakland,CA,POINT (-122.26415 37.81117)
WEAPONS,03/03/2025 10:28:00 PM,25-009723,CARRY CONCEALED WEAPON ON PERSON,02X,825 UNION ST,Oakland,CA,POINT (-122.28993 37.80552)
PETTY THEFT,04/02/2025 07:59:00 AM,25-014713,THEFT,22Y,3544 MONTEREY BLVD,Oakland,CA,POINT (-122.19041 37.80005)
OTHER,04/06/2025 10:10:00 AM,25-015281,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,33X,9651 D ST,Oakland,CA,POINT (-122.17633 37.74279)
ROBBERY,02/04/2025 11:23:00 PM,25-005518,"ROBBERY/ATM - STRONGARM (HANDS, FISTS, FEET)",04X,1970 FRANKLIN ST,Oakland,CA,POINT (-122.26691 37.80805)
ROBBERY,03/31/2025 01:46:00 AM,25-014164,POSS STOLEN VEH/VES/ETC,23X,4200 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.21594 37.77287)
STOLEN VEHICLE,03/20/2025 09:00:00 PM,25-012672,VEHICLE THEFT - AUTO,27X,2158 48TH AV,Oakland,CA,POINT (-122.20573 37.77528)
ROBBERY,04/05/2025 05:05:00 PM,25-015181,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",07X,1131 24TH ST,Oakland,CA,POINT (-122.28289 37.81706)
MISDEMEANOR ASSAULT,03/07/2025 09:25:00 AM,25-010390,BATTERY,31X,8400 PARDEE DR,Oakland,CA,POINT (-122.20309 37.73382)
HOMICIDE,02/04/2025 12:30:00 PM,25-005463,SC UNEXPLAINED DEATH,25Y,13250 CLAIREPOINTE WY,Oakland,CA,POINT (-122.14559 37.78811)
NARCOTICS,02/17/2025 12:11:00 PM,25-007528,TRANSPORT/SELL CONTROLLED SUBSTANCE,23X,4200 BANCROFT AV,Oakland,CA,POINT (-122.21467 37.77407)
FELONY ASSAULT,02/11/2025 07:30:00 AM,25-006833,ASSAULT WITH FIREARM ON PERSON,06X,2300 SAN PABLO AV,Oakland,CA,POINT (-122.27433 37.81398)
BURG - AUTO,02/13/2025 08:30:00 PM,25-901510,BURGLARY-AUTO,12X,520 49TH ST,Oakland,CA,POINT (-122.26335 37.83583)
PETTY THEFT,03/05/2025 12:00:00 AM,25-010120,THEFT,35X,2526 83RD AV,Oakland,CA,POINT (-122.16512 37.76173)
STOLEN VEHICLE,03/26/2025 11:00:00 PM,25-013613,VEHICLE THEFT - AUTO,21Y,LAUREL AV & SUTER ST,Oakland,CA,POINT (-122.20705 37.79326)
STOLEN VEHICLE,02/12/2025 12:00:00 PM,25-007129,SC STOLEN VEHICLE - OTHER VEHICLES,24X,3504 CUSTER ST,Oakland,CA,POINT (-122.21438 37.78539)
,03/31/2025 07:00:00 PM,25-902993,BURGLARY-AUTO,,47TH ST,Oakland,CA,
KIDNAPPING,01/26/2025 08:45:00 PM,25-004120,KIDNAPPING,31Y,106 HEGENBERGER LOOP,Oakland,CA,POINT (-122.19579 37.7349)
ROBBERY,02/28/2025 09:05:00 PM,25-009320,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,25X,3530 MACARTHUR BLVD,Oakland,CA,POINT (-122.20008 37.79344)
STOLEN VEHICLE,01/30/2025 07:00:00 AM,25-004638,VEHICLE THEFT - AUTO,13Z,1951 GASPAR DR,Oakland,CA,POINT (-122.20869 37.82958)
VANDALISM,04/06/2025 09:00:00 AM,25-017028,VANDALISM,02Y,1756 10TH ST,Oakland,CA,POINT (-122.30039 37.81047)
WEAPONS,01/29/2025 01:30:00 PM,25-004530,OBSTRUCT/RESIST EXECUTIVE OFFICER-FEL,07X,24TH ST & WOOD ST,Oakland,CA,POINT (-122.29222 37.82026)
DOMESTIC VIOLENCE,04/11/2025 04:50:00 PM,25-016183,BATTERY,34X,1802 88TH AV,Oakland,CA,POINT (-122.17107 37.75304)
VANDALISM,02/14/2025 12:00:00 PM,25-901558,VANDALISM,22Y,3142 CALIFORNIA ST,Oakland,CA,POINT (-122.20057 37.798)
BURG - RESIDENTIAL,03/21/2025 08:00:00 AM,25-012668,ATTEMPTED BURGLARY,32X,1300 102ND AV,Oakland,CA,POINT (-122.1701 37.74032)
STOLEN VEHICLE,03/27/2025 10:00:00 PM,25-014625,VEHICLE THEFT - AUTO,19X,1408 21ST AV,Oakland,CA,POINT (-122.23867 37.78545)
BURG - RESIDENTIAL,02/03/2025 10:00:00 AM,25-902567,BURGLARY-NO FORCE,13Z,1985 GASPAR DR,Oakland,CA,POINT (-122.20857 37.82947)
NARCOTICS,04/03/2025 01:40:00 PM,25-014872,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,26Y,7101 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.18845 37.75985)
GRAND THEFT,02/09/2025 03:45:00 PM,25-903237,GRAND THEFT,09X,5100 BROADWAY,Oakland,CA,POINT (-122.24923 37.83479)
BURG - COMMERCIAL,02/12/2025 05:45:00 AM,25-006588,BURGLARY-FORCIBLE ENTRY,08X,3770 TELEGRAPH AV,Oakland,CA,POINT (-122.26471 37.82662)
STOLEN VEHICLE,02/20/2025 10:30:00 AM,25-008024,VEHICLE THEFT - AUTO,26Y,1271 75TH AV,Oakland,CA,POINT (-122.18663 37.75781)
VANDALISM,01/23/2025 12:00:00 AM,25-004794,DISTURB THE PEACE,06X,711 32ND ST,Oakland,CA,POINT (-122.27221 37.82179)
